system:index,DEM,VH,VV,VV_VH_diff,azimuth,distance_m,hillshade,slope,.geo
129,358.0,-19.584339141845703,-14.223356246948242,5.360983371734619,90,810,180,3.0335572384605665,"{""type"":""Point"",""coordinates"":[127.8028241090088,-19.171587919282203]}"
130,358.0,-19.965787887573242,-13.951461791992188,6.0143256187438965,90,840,180,0.0,"{""type"":""Point"",""coordinates"":[127.80310942624526,-19.171587919282203]}"
131,358.0,-20.4534854888916,-14.096158027648926,6.357328414916992,90,870,180,0.0,"{""type"":""Point"",""coordinates"":[127.80339474348173,-19.171587919282203]}"
132,357.0,-19.808731079101562,-13.902976989746094,5.905754089355469,90,900,190,4.28609804173259,"{""type"":""Point"",""coordinates"":[127.8036800607182,-19.171587919282203]}"
133,358.0,-21.333738327026367,-15.900904655456543,5.432833194732666,90,930,180,0.0,"{""type"":""Point"",""coordinates"":[127.80396537795467,-19.171587919282203]}"
134,358.0,-21.98165512084961,-14.693755149841309,7.287899494171143,90,960,171,3.0335572385529628,"{""type"":""Point"",""coordinates"":[127.80425069519114,-19.171587919282207]}"
135,357.0,-21.53224754333496,-15.355040550231934,6.1772074699401855,90,990,171,3.033557238313465,"{""type"":""Point"",""coordinates"":[127.8045360124276,-19.171587919282203]}"
136,356.0,-21.908401489257812,-15.966520309448242,5.9418816566467285,90,1020,180,3.0335572384605665,"{""type"":""Point"",""coordinates"":[127.80482132966408,-19.171587919282203]}"
137,356.0,-21.328136444091797,-15.43805980682373,5.89007568359375,90,1050,190,4.286098041901468,"{""type"":""Point"",""coordinates"":[127.80510664690055,-19.171587919282203]}"
138,356.0,-22.397274017333984,-15.467357635498047,6.9299163818359375,90,1080,171,4.286098041901468,"{""type"":""Point"",""coordinates"":[127.80539196413699,-19.171587919282207]}"
139,356.0,-20.467315673828125,-14.304349899291992,6.162966251373291,90,1110,180,0.0,"{""type"":""Point"",""coordinates"":[127.80567728137349,-19.171587919282203]}"
140,356.0,-19.890779495239258,-15.05144214630127,4.83933687210083,90,1140,199,6.050201668099063,"{""type"":""Point"",""coordinates"":[127.80596259860995,-19.171587919282203]}"
141,358.0,-21.617053985595703,-15.27359676361084,6.343456268310547,90,1170,190,3.033557238313465,"{""type"":""Point"",""coordinates"":[127.8062479158464,-19.171587919282203]}"
142,359.0,-21.967405319213867,-15.214505195617676,6.752899169921875,90,1200,180,0.0,"{""type"":""Point"",""coordinates"":[127.8065332330829,-19.171587919282203]}"
143,359.0,-21.869569778442383,-15.573272705078125,6.296298027038574,90,1230,180,3.0335572384605665,"{""type"":""Point"",""coordinates"":[127.80681855031935,-19.171587919282203]}"
144,358.0,-22.511369705200195,-16.150264739990234,6.361105442047119,90,1260,171,6.758070068686759,"{""type"":""Point"",""coordinates"":[127.80710386755584,-19.171587919282203]}"
