system:index,DEM,VH,VV,VV_VH_diff,azimuth,distance_m,hillshade,slope,.geo
131,583.0,-21.344257354736328,-15.01716423034668,6.327091693878174,90,870,255,28.738184031476578,"{""type"":""Point"",""coordinates"":[76.51727315176859,19.9766023895878]}"
132,592.0,-14.96292495727539,-9.764565467834473,5.19835901260376,90,900,209,9.560289829168351,"{""type"":""Point"",""coordinates"":[76.51755989800816,19.976602389587796]}"
133,595.0,-14.612858772277832,-9.410922050476074,5.201937675476074,90,930,180,3.04872189952492,"{""type"":""Point"",""coordinates"":[76.51784664424771,19.9766023895878]}"
134,594.0,-14.069092750549316,-8.510431289672852,5.558661460876465,90,960,180,3.04872189952492,"{""type"":""Point"",""coordinates"":[76.51813339048728,19.9766023895878]}"
135,595.0,-17.544919967651367,-9.850266456604004,7.694653511047363,90,990,180,3.04872189952492,"{""type"":""Point"",""coordinates"":[76.51842013672685,19.976602389587796]}"
136,595.0,-19.64529800415039,-12.29483413696289,7.350464820861816,90,1020,190,4.307483918087754,"{""type"":""Point"",""coordinates"":[76.51870688296641,19.9766023895878]}"
137,596.0,-20.204254150390625,-11.046745300292969,9.15750789642334,90,1050,190,4.307483917748327,"{""type"":""Point"",""coordinates"":[76.51899362920597,19.976602389587804]}"
138,597.0,-23.88481330871582,-13.803406715393066,10.08140754699707,90,1080,190,3.0487218994457406,"{""type"":""Point"",""coordinates"":[76.51928037544553,19.9766023895878]}"
139,598.0,-21.707626342773438,-13.740056991577148,7.9675703048706055,90,1110,180,6.080277037925878,"{""type"":""Point"",""coordinates"":[76.5195671216851,19.9766023895878]}"
140,597.0,-17.58456039428711,-11.066588401794434,6.517971992492676,90,1140,171,12.385485961670504,"{""type"":""Point"",""coordinates"":[76.51985386792468,19.9766023895878]}"
141,599.0,-14.108148574829102,-5.544373989105225,8.563775062561035,90,1170,199,13.397540641781092,"{""type"":""Point"",""coordinates"":[76.52014061416422,19.9766023895878]}"
142,600.0,-15.451455116271973,-4.0926513671875,11.358803749084473,90,1200,190,6.791601765216056,"{""type"":""Point"",""coordinates"":[76.52042736040379,19.9766023895878]}"
143,598.0,-14.53564167022705,-8.040428161621094,6.495213508605957,90,1230,161,6.0802770372915225,"{""type"":""Point"",""coordinates"":[76.52071410664335,19.9766023895878]}"
144,598.0,-16.279621124267578,-9.438705444335938,6.840914726257324,90,1260,143,12.026610964400895,"{""type"":""Point"",""coordinates"":[76.52100085288292,19.9766023895878]}"
145,592.0,-14.353167533874512,-6.318752288818359,8.034415245056152,90,1290,161,6.7916017655367575,"{""type"":""Point"",""coordinates"":[76.52128759912247,19.9766023895878]}"
146,594.0,-15.464208602905273,-6.776183605194092,8.68802547454834,90,1320,199,6.7916017655367575,"{""type"":""Point"",""coordinates"":[76.52157434536204,19.9766023895878]}"
147,595.0,-13.714985847473145,-7.2708563804626465,6.444129943847656,90,1350,190,4.307483917918039,"{""type"":""Point"",""coordinates"":[76.52186109160161,19.976602389587796]}"
148,595.0,-16.08700942993164,-9.325427055358887,6.7615838050842285,90,1380,180,6.080277037925878,"{""type"":""Point"",""coordinates"":[76.52214783784117,19.9766023895878]}"
149,593.0,-18.797883987426758,-10.56399154663086,8.233891487121582,90,1410,161,8.566819202547997,"{""type"":""Point"",""coordinates"":[76.52243458408073,19.9766023895878]}"
150,592.0,-18.63733673095703,-11.23084831237793,7.406489372253418,90,1440,180,3.04872189952492,"{""type"":""Point"",""coordinates"":[76.5227213303203,19.9766023895878]}"
151,591.0,-14.019344329833984,-9.224910736083984,4.79443359375,90,1470,180,3.04872189952492,"{""type"":""Point"",""coordinates"":[76.52300807655986,19.976602389587804]}"
152,591.0,-18.272855758666992,-10.41720962524414,7.85564661026001,90,1500,180,0.0,"{""type"":""Point"",""coordinates"":[76.52329482279943,19.9766023895878]}"
153,480.0,-29.270069122314453,-25.14975357055664,4.1203155517578125,135,0,180,0.0,"{""type"":""Point"",""coordinates"":[76.50895751082125,19.976602389587804]}"
154,480.0,-30.627519607543945,-25.17475128173828,5.452768325805664,135,30,180,0.0,"{""type"":""Point"",""coordinates"":[76.50916027103172,19.97641048436403]}"
155,480.0,-30.3830623626709,-24.556928634643555,5.8261332511901855,135,60,180,0.0,"{""type"":""Point"",""coordinates"":[76.5093630312422,19.97621857914026]}"
156,480.0,-28.845258712768555,-25.100807189941406,3.7444515228271484,135,90,180,0.0,"{""type"":""Point"",""coordinates"":[76.50956579145267,19.97602667391649]}"
157,480.0,-30.185190200805664,-25.871761322021484,4.313429832458496,135,120,180,0.0,"{""type"":""Point"",""coordinates"":[76.50976855166314,19.97583476869272]}"
158,480.0,-30.08268165588379,-25.281105041503906,4.801576137542725,135,150,180,0.0,"{""type"":""Point"",""coordinates"":[76.50997131187363,19.97564286346895]}"
159,480.0,-29.038957595825195,-24.181989669799805,4.856966495513916,135,180,180,0.0,"{""type"":""Point"",""coordinates"":[76.5101740720841,19.975450958245172]}"
160,480.0,-30.938940048217773,-25.63935089111328,5.299588203430176,135,210,180,0.0,"{""type"":""Point"",""coordinates"":[76.51037683229457,19.97525905302141]}"
161,480.0,-30.16291046142578,-24.80643081665039,5.356480598449707,135,240,180,0.0,"{""type"":""Point"",""coordinates"":[76.51057959250505,19.975067147797635]}"
162,480.0,-29.916149139404297,-24.871204376220703,5.044945240020752,135,270,180,0.0,"{""type"":""Point"",""coordinates"":[76.51078235271552,19.974875242573866]}"
163,480.0,-31.315763473510742,-24.919891357421875,6.395873069763184,135,300,180,0.0,"{""type"":""Point"",""coordinates"":[76.510985112926,19.974683337350093]}"
164,480.0,-30.590110778808594,-25.41935920715332,5.170750617980957,135,330,180,0.0,"{""type"":""Point"",""coordinates"":[76.51118787313648,19.97449143212632]}"
165,480.0,-30.527965545654297,-24.852115631103516,5.675848960876465,135,360,180,0.0,"{""type"":""Point"",""coordinates"":[76.51139063334695,19.974299526902556]}"
